0.406,0.349,0.715,0.322,15
0.681,0.31,0.374,0.711,24
0.841,0.907,0.066,0.185,19
0.849,0.148,0.626,0.379,21
0.43,0.469,0.428,0.809,22
0.684,0.217,0.303,0.598,24
0.72,0.867,0.195,0.408,20
0.43,0.504,0.986,0.792,17
0.843,0.171,0.057,0.094,22
0.683,0.294,0.182,0.726,26
0.758,0.329,0.553,0.843,25
0.055,0.334,0.368,0.52,17
0.715,0.649,0.675,0.518,19
0.927,0.797,0.603,0.577,20
0.489,0.079,0.005,0.31,22
0.009,0.417,0.49,0.976,19
0.382,0.34,0.129,0.898,25
0.117,0.883,0.85,0.703,12
0.153,0.294,0.887,0.503,13
0.909,0.153,0.687,0.401,21
0.36,0.413,0.454,0.885,22
0.141,0.694,0.616,0.052,9
0.412,0.375,0.179,0.773,24
0.426,0.028,0.466,0.576,21
0.751,0.638,0.581,0.515,20
0.354,0.864,0.943,0.341,10
0.986,0.787,0.133,0.394,23
0.767,0.427,0.437,0.801,25
0.391,0.661,0.498,0.292,15
0.736,0.925,0.729,0.466,16
0.609,0.598,0.902,0.726,18
0.87,0.985,0.698,0.74,19
0.467,0.576,0.574,0.964,22
0.637,0.521,0.721,0.375,17
0.266,0.058,0.159,0.904,25
0.642,0.063,0.985,0.396,16
0.857,0.634,0.883,0.87,21
0.245,0.187,0.193,0.408,19
0.951,0.631,1,0.522,17
0.824,0.393,0.948,0.272,16
0.957,0.522,0.012,0.927,30
0.054,0.65,0.715,0.53,12
0.34,0.672,0.467,0.474,17
0.26,0.691,0.341,0.394,16
0.466,0.975,0.503,0.559,16
0.115,0.61,0.781,0.509,12
0.177,0.966,0.749,0.67,12
0.108,0.128,0.678,0.115,11
0.923,0.418,0.506,0.578,23
0.404,0.703,0.376,0.621,19
0.208,0.376,0.138,0.779,22
0.161,0.21,0.013,0.6,21
0.663,0.017,0.619,0.449,20
0.531,0.168,0.664,0.036,14
0.866,0.496,0.578,0.166,18
0.699,0.805,0.45,0.325,18
0.79,0.388,0.685,0.997,25
0.046,0.219,0.915,0.003,7
0.104,0.517,0.151,0.794,21
0.219,0.204,0.632,0.485,16
0.437,0.711,0.672,0.546,16
0.949,0.085,0.686,0.583,23
0.632,0.45,0.709,0.297,16
0.995,0.424,0.793,0.765,23
0.967,0.211,0.068,0.684,29
0.246,0.902,0.228,0.733,19
0.326,0.398,0.341,0.94,23
0.431,0.42,0.193,0.974,26
0.792,0.846,0.612,0.04,14
0.249,0.623,0.791,0.857,17
0.198,0.811,0.417,0.164,12
0.442,0.14,0.087,0.115,19
0.851,0.092,0.488,0.878,27
0.195,0.21,0.387,0.001,13
0.357,0.516,0.108,0.305,19
0.08,0.429,0.73,0.869,17
0.818,0.474,0.909,0.389,17
0.01,0.881,0.202,0.663,16
0.38,0.381,0.768,0.258,14
0.97,0.044,0.768,0.409,20
0.738,0.903,0.271,0.389,19
0.854,0.842,0.899,0.681,18
0.716,0.149,0.871,0.033,14
0.2,0.014,0.194,0.624,21
0.982,0.782,0.08,0.765,27
0.92,0.694,0.768,0.757,21
0.837,0.335,0.138,0.52,25
0.723,0.725,0.659,0.253,16
0.366,0.189,0.385,0.952,24
0.101,0.333,0.914,0.264,10
0.289,0.819,0.484,0.889,19
0.246,0.886,0.827,0.376,10
0.21,0.248,0.508,0.101,13
0.88,0.488,0.74,0.99,24
0.822,0.723,0.553,0.777,23
0.663,0.283,0.611,0.315,18
0.731,0.904,0.352,0.861,23
0.071,0.942,0.967,0.715,10
0.41,0.581,0.458,0.114,14
0.092,0.503,0.595,0.214,11
0.404,0.696,0.662,0.36,14
0.319,0.876,0.662,0.305,12
0.573,0.506,0.477,0.273,18
0.877,0.495,0.459,0.601,23
0.429,0.235,0.653,0.753,20
0.631,0.48,0.736,0.535,18
